symbol,date,close,high,low,open
AAPL,2021-01-29 16:30:00+00:00,131.71,132.355,131.63,132.205
AAPL,2021-01-29 16:35:00+00:00,132.06,132.06,131.21,131.69
AAPL,2021-01-29 16:40:00+00:00,132.43,132.475,131.78,132.035
AAPL,2021-01-29 16:45:00+00:00,132.83,132.87,132.155,132.42
AAPL,2021-01-29 16:50:00+00:00,132.355,132.82,132.09,132.82
AAPL,2021-01-29 16:55:00+00:00,132.99,133.045,132.27,132.35
AAPL,2021-01-29 17:00:00+00:00,133.155,133.24,132.845,132.96
AAPL,2021-01-29 17:05:00+00:00,133.01,133.185,132.595,133.185
AAPL,2021-01-29 17:10:00+00:00,132.83,133.305,132.8,133.015
AAPL,2021-01-29 17:15:00+00:00,131.785,132.79,131.78,132.79
AAPL,2021-01-29 17:20:00+00:00,131.67,131.9,131.46,131.78
AAPL,2021-01-29 17:25:00+00:00,131.95,132.185,131.66,131.665
AAPL,2021-01-29 17:30:00+00:00,131.56,132.22,131.51,131.95
AAPL,2021-01-29 17:35:00+00:00,130.925,131.71,130.71,131.57
AAPL,2021-01-29 17:40:00+00:00,130.955,131.43,130.68,130.93
AAPL,2021-01-29 17:45:00+00:00,130.26,131.125,130.225,130.955
AAPL,2021-01-29 17:50:00+00:00,131.17,131.47,130.275,130.275
AAPL,2021-01-29 17:55:00+00:00,130.58,131.24,130.405,131.2
AAPL,2021-01-29 18:00:00+00:00,130.875,131.12,130.355,130.47
AAPL,2021-01-29 18:05:00+00:00,131.465,131.62,130.68,130.875
AAPL,2021-01-29 18:10:00+00:00,131.135,131.53,130.7,131.445
AAPL,2021-01-29 18:15:00+00:00,130.63,131.07,130.57,131.035
AAPL,2021-01-29 18:20:00+00:00,131.23,131.28,130.54,130.62
AAPL,2021-01-29 18:25:00+00:00,132.05,132.09,131.09,131.16
AAPL,2021-01-29 18:30:00+00:00,131.83,132.035,131.61,132.035
AAPL,2021-01-29 18:35:00+00:00,132.41,132.5,131.765,131.84
AAPL,2021-01-29 18:40:00+00:00,132.545,132.7,132.02,132.38
AAPL,2021-01-29 18:45:00+00:00,132.03,132.78,131.965,132.5
AAPL,2021-01-29 18:50:00+00:00,131.78,132.12,131.56,132.03
AAPL,2021-01-29 18:55:00+00:00,131.605,131.83,131.48,131.775
AAPL,2021-01-29 19:00:00+00:00,132.075,132.415,131.58,131.655
AAPL,2021-01-29 19:05:00+00:00,132.5,132.505,131.76,132.1
AAPL,2021-01-29 19:10:00+00:00,132.185,132.6,132.01,132.53
AAPL,2021-01-29 19:15:00+00:00,132.38,132.46,131.93,132.19
AAPL,2021-01-29 19:20:00+00:00,132.21,132.48,132.02,132.405
AAPL,2021-01-29 19:25:00+00:00,131.945,132.255,131.875,132.205
AAPL,2021-01-29 19:30:00+00:00,131.475,131.945,131.26,131.94
AAPL,2021-01-29 19:35:00+00:00,131.48,131.695,131.335,131.475
AAPL,2021-01-29 19:40:00+00:00,131.505,131.71,131.035,131.445
AAPL,2021-01-29 19:45:00+00:00,131.33,131.755,131.29,131.52
AAPL,2021-01-29 19:50:00+00:00,131.66,131.71,131.31,131.325
AAPL,2021-01-29 19:55:00+00:00,131.6,132.07,131.55,131.665
AAPL,2021-01-29 20:00:00+00:00,132.47,132.58,131.665,131.665
